,0
17,"V.Šarauskienės nuomone, svarbu, kad mokymosi procesas būtų organizuojamas taip, kad prisijungti galėtų kiekvienas mokinys turintis bet kokį mobilųjį įrenginį – telefoną, planšetinį ar įprastą kompiuterį."
18,"Aukštelkės mokykla-daugiafunkcis centras šiam laikotarpiui kompiuterių neturintiems mokiniams juos paskolino, tačiau norint mokytis pakanka ir telefono. Siekiant užtikrinti kokybišką nuotolinį ugdymą neabejotinai pasitarnaus įgūdžiai, gauti įstaigoje įgyvendinant informacinių komunikacinių technologijų (IKT) bei STEAM metodų diegimo projektą."
19,Daugiau informacijos apie nuotolinį mokymą - skaitmeninėje mokymo bazėje www.nsa.smm.lt/nuotolinis
20,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
21,"59,88 Eur/met."
22,Jūs gausite:
23,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
24,"

Turite dovanų kodą?
"
25,Nurodytos kainos galioja tik fiziniams asmenims.
26,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
27,< Grįžti atgal
28,< Grįžti atgal
29,< Grįžti atgal
30,"Nesi registruotas skaitytojas?
            Registruokis
"
31,< Grįžti atgal
32,Esi registruotas skaitytojas? Prisijunk
33,< Grįžti atgal
34,=======================================================================
35,2
36,=======================================================================
37,"Anot jo, trūkumas bus greičiausiai užpildomas įsigyjant pigesnius planšetinius kompiuterius."
38,"„Viena sutartis jau yra, 10 tūkst. planšečių jau važiuoja, kitos sutartys irgi bus pasirašomos kitą savaitę. Yra daug sutarčių su ne vienu tiekėju. Turėtų būti dar 10 tūkst. planšečių ir apie kelis tūkstančius nešiojamų kompiuterių“, – BNS penktadienį teigė agentūros vadovas."
39,"Pasak jo, agentūrai pavyko įsigyti apie 3 tūkst. nešiojamų kompiuterių už norimą 500 eurų kainą, bet dar tikimasi derybose sulaukti palankesnių pasiūlymų."
40,"„Gavome apie 3 tūkstančius, planavome apie 10. Bet tikimės, kad tiekėjai dar pasitaisys, galbūt kažkiek pavyks. Vieną pirkome už sumą, ne didesnę nei 500 eurų, kainavo gal 10 ar 20 eurų mažiau“, – sakė V.Brazdeikis."
41,"Iš viso Nacionalinė švietimo agentūra nuotoliniam mokymuisi praėjusią savaitę nusprendė nupirkti 35 tūkst. kompiuterių, jų trūksta socialiai remtiniems vaikams. Ankščiau skelbta, kad agentūra pirks 15 tūkst. planšetinių ir 20 tūkst. nešiojamų kompiuterių. Tačiau V. Brazdeikis sako, kad nepavykus rasti nešiojamųjų kompiuterių priimtina kaina, šios proporcijos keisis."
42,"„Paprasčiausiai negavome tiek, kiek norėjome, pasiūlymų už tokią kainą, kokią norėjome. Bet iš principo, viskas juda, tiesiog santykis planšetinių ir nešiojamų kompiuterių gali kisti, bendras skaičius turi išlikti. Planšetės, kurios perkamos, už vienetą yra maždaug 185 eurai“, – tvirtino jis."
43,"Agentūros vadovas taip pat patikino, kad apie 2 tūkst. pirmųjų įsigytų planšetinių kompiuterių savivaldybes turėtų pasiekti jau penktadienį. Dar tūkstantis verslo dovanotų įrenginių taip pat turėtų atkeliauti artimiausiu metu."
44,"10 tūkst. pirmųjų planšečių „Galaxy Tab A“ įsigyta iš bendrovės „Telia“. Ji penktadienį pranešė, kad pirmieji 2 tūkst. įrenginių bus išdalyti jau penktadienį, o likusieji – per savaitę."
45,"Dar 500 naujų planšečių „Telia“ dovanojo anksčiau, vykdant projektą „Mokykla namuose“, jie bus išdalyti taip pat artimiausiu metu."
46,"Švietimo, mokslo ir sporto ministerijos kancleris Tomas Daukantas LRT penktadienį tvirtino, kad vaikus turėtų pasiekti ir 500 dėvėtų, bet gerai veikiančių planšetinių kompiuterių."
47,"Lietuvoje nuo kovo 16-osios įvedus karantiną, mokyklose dvi savaites buvo paskelbtos atostogos, o nuo šio pirmadienio švietimo įstaigos vykdo nuotolinį mokymą. Daliai moksleivių neturint priemonių nuotoliniam mokymuisi, ministerija nusprendė nupirkti kompiuterių sunkiau gyvenančių šeimų vaikams."
48,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
49,"59,88 Eur/met."
50,Jūs gausite:
51,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
52,"

Turite dovanų kodą?
"
53,Nurodytos kainos galioja tik fiziniams asmenims.
54,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
55,< Grįžti atgal
56,< Grįžti atgal
57,< Grįžti atgal
58,"Nesi registruotas skaitytojas?
            Registruokis
"
59,< Grįžti atgal
60,Esi registruotas skaitytojas? Prisijunk
61,< Grįžti atgal
62,=======================================================================
63,3
64,=======================================================================
65,"„Šiandien savivaldybes pasieks pirmieji 2 tūkst. kompiuterių, yra padovanotų jau 500 „Telia“ naujų kompiuterių, taip pat turime apie 500 panaudotų, bet veikiančių. Visa tai pasieks jau šiandien savivaldybes“, – LRT radijui penktadienį sakė T.Daukantas."
66,"Anot jo, kitą savaitę savivaldybes turėtų pasiekti dar 8 tūkst. kompiuterių pagal sudarytą sutartį, o iš viso per kitą savaitę planuojama pristatyti apie beveik 20 tūkst. kompiuterių."
67,"Kanclerio teigimu, mokiniams, kurie neturi interneto paslaugos, ji taip pat bus suteikta."
68,"„Telekomunikacijų operatoriai aktyviai dalyvauja prisidėdami tiek dovanomis, tiek paslaugomis. Šiandien „Tele2“ įteikė 2 tūkst. SIM kortelių su internetine paslauga, su pakankamai dideliu kiekiu interneto, kur ministerija perka, kur nebegausim tiek dovanų, pirksim internetinę paslaugą, ir tiems keliems mėnesiams interneto prieiga bus užtikrinta su kompiuteriais“, – sakė T.Daukantas."
69,"„Savivaldybės irgi vertina, ar šeimose yra wifi ryšys, ar turi internetą, jei ne, suteikinėja“, – pridūrė jis."
70,"Nacionalinė švietimo agentūra (NŠA) nuotoliniam mokymuisi praėjusią savaitę nusprendė nupirkti 35 tūkst. kompiuterių, kurių trūksta socialiai remtiniems vaikams."
71,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
72,"59,88 Eur/met."
73,Jūs gausite:
74,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
75,"

Turite dovanų kodą?
"
76,Nurodytos kainos galioja tik fiziniams asmenims.
77,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
78,< Grįžti atgal
79,< Grįžti atgal
80,< Grįžti atgal
81,"Nesi registruotas skaitytojas?
            Registruokis
"
82,< Grįžti atgal
83,Esi registruotas skaitytojas? Prisijunk
84,< Grįžti atgal
85,=======================================================================
86,4
87,=======================================================================
88,"15min pakalbino Norvegijoje, Švedijoje ir Portugalijoje gyvenančių lietuvių šeimas. Jos papasakojo, kaip šiuo metu vyksta vaikų mokymas jų šalyse."
89,"Norvegijoje gyvenanti Nerija Cymermonienė su vyru augina keturis vaikus: trečiokę, penktoką ir dešimtoką, kurie lanko vietinę mokyklą, o jauniausia dukra eina į darželį. Šalyje paskelbus karantiną, ugdymo įstaigos nedirba."
90,"„Kovo 12 d. pasklido žinia, kad yra užsikrėtusių žmonių ir pas mus. Kai kurių vaikų tėvai nebeleido į mokyklą ir anksčiau. Nuo kovo 13 d. pamokos buvo nutrauktos: vaikams leido tik ateiti pasiimti knygas ir kompiuterius, kurie likę mokykloje. O jau nuo kovo 16 d. prasidėjo nuotolinės pamokos. Iš pradžių buvo planuojama, kad tai tęsis dvi savaites. Tačiau vėliau pratęsė dar dviem. Jokių atostogų nebuvo, kaip Lietuvoje: iš karto vaikai tęsė mokslus, tik jau namuose“, – sakė keturių vaikų mama."
91,"Šiuo metu skelbiama, kad nuotolinis ugdymas Hagaviko miestelyje, kuriame šeima gyvena, bus tęsiamas iki balandžio 13 d. Tačiau prieš tai vaikai ir tėvai galės atsikvėpti – bus savaitė velykinių atostogų. Po jų esą vaikai turėtų sugrįžti į mokyklas ir darželius. Kaip bus iš tiesų, pasak pašnekovės, parodys laikas."
92,"Pedagoge vienoje iš miesto mokyklų dirba ir pati N.Cymermonienė. Be to, ji yra įkūrusi ir savaitgalio lituanistinę mokyklą lietuvių vaikams. Taigi, kaip pati sako, karantinas ir su tuo atėję nuotolinio ugdymo iššūkiai jai pažįstami iš abiejų pusių: ir kaip mamai, ir kaip mokytojai."
93,"„Tiek aš savo mokiniams, tiek kiti mokytojai mano vaikams siunčiame užduotis nuotoliniu būdu. Principą, kaip tai vyksta, pasirenka mokykla ir mokytojas: kai kur užduotys tik atsiunčiamos, kitiems vyksta pamokos internetu. Bet nėra tokių pamokų, kaip aš mačiau Lietuvoje, kai, pavyzdžiui, Kauno Jėzuitų gimnazija transliuoja kiekvieną pamoką tiesiogiai. Mūsų mokytojai visą pamokos medžiagą (užduotis, paaiškinimus, planą, ką vaikas turi padaryti) įdeda į kokią nors programą, pavyzdžiui, „Google Classroom“ ar kitą platformą“, – pasakojo lietuvė."
94,"Principą, kaip tai vyksta, pasirenka mokykla ir mokytojas: kai kur užduotys tik atsiunčiamos, kitiems vyksta pamokos internetu."
95,"Jos teigimu, mokytojai turi daug laisvės planuoti pamokas ir bendravimą su vaikais."
96,"„Susitinka virtualiai mokytojai su vaikais, bet tai daro skirtingu laiku. Mūsų, pavyzdžiui, 9 val. kiekvieną rytą susiskambina internetu. Mokytojams yra palikta daug laisvės, bet jie turi prižiūrėti, kad vaikai mokytųsi ir siųstų namų darbus. Bent jau mūsų mokykloje labai svarbus grįžtamasis ryšys“, – sakė N.Cymermonienė."
97,"Pašnekovė puikiai žino, kaip atrodo iš namų dirbančios mamos ir pedagogės dienotvarkė. „Dirbame daug, nes iš esmės bet kada tau gali parašyti ir kažko paklausti, paprašyti padėti, išversti. Bet visi vieni kitiems labai padedame“, – džiaugėsi lietuvė."
98,"Su kitais mokytojais ir mokyklos vadovais nuolat palaikomas ryšys nuotoliniu būdu. Tiesa, mokyklose net ir per karantiną dirba vienas ar du administracijos atstovai, tad norintys pasiimti reikalingų priemonių gali užsukti. Reikia tik iš anksto susitarti, mat norvegai, kaip ir lietuviai, laikosi valdžios ir medikų rekomendacijų likti namuose."
99,"Kaip ir Lietuvoje, Norvegijoje dešimtokai šiemet yra atleisti nuo egzaminų."
100,"Niekas nežino, kiek karantinas tęsis, todėl aš manau, kad bet koks nuotolinis ugdymas yra geriau negu nieko. Žinoma, visiems yra tikrai sudėtinga."
101,"Jos nuomone, nuotolinis mokymas Norvegijoje vyksta gana sėkmingai. „Niekas nežino, kiek karantinas tęsis, todėl aš manau, kad bet koks nuotolinis ugdymas yra geriau negu nieko. Žinoma, visiems yra tikrai sudėtinga. Pavyzdžiui, mano namuose – keturi vaikai, iš kurių trys – moksleiviai, o dar aš pati dirbu mokytoja. Tai tikrai yra ką veikti“, – neslėpė N.Cymermonienė."
102,"Anot jos, nesiilsi ir vaikai: mokytojai vaikams skiria nemažai užduočių. Kur kas daugiau, nei būdavo užduodama namų darbų."
103,"Nemažai metų Norvegijoje praleidusi ir šios šalies švietimo sistemoje dirbanti moteris atkreipė dėmesį, kad šios šalies pedagogams ir moksleiviams startuoti su nuotoliniu mokymu buvo lengviau dėl dviejų priežasčių. Pirmiausia vaikai nuo ankstyvo mokyklinio amžiaus turi savaitės užduočių planus ir moka savarankiškai dirbti. Be to, Norvegijos ugdymo sistemoje nemažai darbų vaikai turi atlikti kompiuteriais. Tad kompiuteriai ir kiti išmanieji įrenginiai jiems tikrai nėra naujiena."
104,"„Kartais pajuokaujame, kad greit vaikai nebemokės ranka rašyti. Net mokyklose yra bendro naudojimo nešiojami kompiuteriai, kuriais visi atlieka paskirtas užduotis. Dabar juos buvo galima išsinešti į namus ir naudoti, kol pamokos vyks nuotoliniu būdu“, – sakė pašnekovė."
105,"Visiškai kitokia situacija yra Švedijoje. Lundo mieste gyvenanti Veronika Urbonaitė-Barkauskienė pasakojo, kad šalyje nėra paskelbtas karantinas, tad nemaža dalis ugdymo įstaigų dirba."
106,"„Veikia darželiai ir mokyklos iki gimnazinių klasių. Gimnazijos, profesinės mokyklos, universitetai taiko mokymą iš namų. Logika tokia, kad dideli vaikai, galintys pabūti namuose savarankiškai, gali mokytis namie. Bet maži vaikai, jei nėra leidžiami į darželius ar mokyklas, sutrikdo bent vieno tėvų darbingumą, nes negali būti be suaugusio žmogaus priežiūros. Taip pat siekiama išvengti mažų vaikų perdavimo seneliams, kurie dažniausiai priklauso padidintos rizikos užsikrėsti koronavirusu grupėms. Bet čia Švedijos Visuomenės sveikatos agentūra (šved. Folkhalsomyndigheten), mano nuomone, neatsižvelgia į daugelyje mokslinių studijų pabrėžiamą faktą, kad vaikai ir jaunimas dažnai tampa viruso nešiotojais nerodydami jokių simptomų ir lengvai gali užkrėsti kitus“, – pasakojo tris mažamečius vaikus turinti lietuvė."
107,"Jos pačios šeima pasirinko eiti prieš srovę – nuo kovo 12 d. jie neveda vaikų į darželį ir mokyklą. Dėl to sulaukė ne tik nuostabos, bet ir oficialaus priminimo, jog vaikai privalo lankyti ugdymo įstaigą."
108,"„Gavome laišką, kad jei iki pirmadienio (kuris jau praėjo) nepradėsime vesti vaikų, tai jie perduos informaciją apie mus Švietimo skyriui. Vaikų vesti nepradėjome, laukiame, kas dabar bus“, – sakė lietuvė."
109,"Tvarka tokia, kad mokykla informaciją apie nelankančią šeimą perduoda miesto Švietimo skyriui, kuris sprendžia, kokių imtis priemonių (pavyzdžiui, gali skirti baudą arba perduoti informaciją apie šeimą Vaiko teisių tarnybai). Vienas iš argumentų, kodėl tėvai neturi teisės neleisti vaikui eiti ugdymo įstaigą, kad vaikai nuo 6 metų turi teisę į mokslą. O šeima, neleidžianti vaiko į mokyklą, tą teisę pažeidžia."
110,"Užsieniečiams išimtys netaikomos. Pasak jos, šiuo metu nelankyti ugdymo įstaigos gali tik vaikai, jaučiantys peršalimo simptomus, kosintys, sloguojantys."
111,"„Nesu tikra dėl tų, kurie gyvena kartu su seneliais ar kitais rizikos grupių žmonėmis šeimoje“, – prisipažino pašnekovė."
112,"Ji sutiktų vaikus mokyti namuose, tačiau nuotolinio mokymo nėra, kol mokykla neuždaryta."
113,"„Alternatyva vaiko vedimui į mokyklą? Ne, tokios nėra, kaip suprantu. Mielai ja pasinaudotume, jei būtų“, – neslėpė V.Urbonaitė-Barkauskienė."
114,"Portugalijoje karantinas paskelbtas kovo 16 d. Nuo to laiko mokyklos, darželiai ir universitetai nedirba. Tačiau kaip toliau tęsti mokslus vaikams, spręsti buvo palikta pačioms ugdymo įstaigoms – Švietimo ministerija sprendimo dar nepriėmė."
115,"Portugalijos mieste Bragoje gyvenanti Ugnė Urbonaitė pasakojo, kad kai kurių mokyklų moksleiviai dvi savaites „atostogavo“. Kitų – jau mokėsi nuotoliniu būdu."
116,"„Mūsų vaikų mokykla paruošė kartojimo užduotis. Bendrauti su klasės draugais ir mokytojomis vaikai naudoja „Zoom“ programą. Ten sukeltos ir užduotys. Nieko naujo kol kas nesimokė, tik kartojo kursą. Šokių, kūno kultūros ir karatė mokytojai sukūrė mokyklos kanalą „Youtube“ ir „WhatsApp“, kur sukelia vaizdo medžiagą, bendrauja su vaikais“, – pasakojo 7 metų sūnų ir 10 metų dukrą auginanti moteris."
117,"Nuo kitos savaitės moksleiviai visoje Portugalijoje dvi savaites atostogaus – tai tradicinės velykinės atostogos. Po jų, pasak pašnekovės, valstybė greičiausiai paskelbs apie pratęstą karantiną ir, reikia tikėtis, pagaliau priims sprendimą dėl ugdymo įstaigų veiklos. Nes šiuo metu nėra aišku, kaip bus su egzaminais – mokyklos dėl jų savarankiškų sprendimų negali priimti."
118,"Kai kurie universitetai jau apsisprendė nutraukti mokslo metus. Pavyzdžiui, tik rudenį savo veiklą ketina atnaujinti Bragos universitetas."
119,"Kaip ir Lietuvoje, Portugalijoje vienas iš didžiausių nuotolinio mokymo trukdžių – kompiuterių stygius. Skaičiuojama, kad jų šalyje neturi 50 tūkst. mokyklinio amžiaus vaikų."
120,"„Buvo kalbų, kad galbūt pamokas galėtų transliuoti per televiziją. Bet kaip padaryti, kad joje rodytų pamokas skirtingoms klasėms? Bet kokiu atveju, kažkoks sprendimas per tas dvi atostogų savaites turės būti priimtas. Nes Švietimo ministerija paskutinį kartą spaudos konferenciją dėl mokslo surengė kovo 13 d.“, – kalbėjo Portugalijoje gyvenanti lietuvė."
121,Daugiau informacijos apie nuotolinį mokymą Lietuvoje: www.nsa.smm.lt/nuotolinis.
122,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
123,"59,88 Eur/met."
124,Jūs gausite:
125,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
126,"

Turite dovanų kodą?
"
127,Nurodytos kainos galioja tik fiziniams asmenims.
128,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
129,< Grįžti atgal
130,< Grįžti atgal
131,< Grįžti atgal
132,"Nesi registruotas skaitytojas?
            Registruokis
"
133,< Grįžti atgal
134,Esi registruotas skaitytojas? Prisijunk
135,< Grįžti atgal
136,=======================================================================
137,5
138,=======================================================================
139,"Šiandien nejučia tapome skaitmeninės revoliucijos liudininkais ir dalyviais. Taip, švietimo skaitmenizacija neideali: su klaidomis ir ant perkrovos ribos vėl pastatytais mokytojais; su spragomis ten, kur nėra kompiuterių ir interneto. Bet per kelias savaites padarysime gal net daugiau nei dešimtmetį trukusi šviesolaidinio interneto programa."
140,"Mokytojai iš esmės susidorojo su skaitmeniniu iššūkiu. Jau šiandien matome, kad rastos paprastos išeitys, kaip apeiti stringančias bendrojo ugdymo sistemas. Tikiu, po mėnesio būsime pažengę tiek, kiek įprastomis sąlygomis ir per pusmetį nepajėgtume. Išbandymas mūšiu visada sunkiausias, bet ir moko jis greičiausiai."
141,"Be abejo, lieka problemos, kurių taip greitai neišspręsi. Viena iš jų – kompiuteriai jų neturintiems vaikams. Švietimo ministras vakar Švietimo ir mokslo komiteto posėdyje sakė, kad įranga vis dar pakeliui ir tiek užtruks ją pargabenti į Lietuvą, o vėliau – ir į rajonus. Tai suprantama. Tikiuosi, nebus keistų biurokratinių trukdžių. Kurių, deja, vis dar matome medicinos sektoriuje."
142,"Žengę šį žingsnį mes sukuriame ir naujas galimybes regionams. Miesteliams ir kaimams, kurių mokyklos jau antrą dešimtmetį yra nesibaigiančių ginčų objektas. Juk parūpinus įrangą 35 tūkstančiams mokinių, atsiranda galimybė formuoti nuotolinio mokymosi klases kiekviename kaime, kuriame yra ES lėšomis puikiai įrengti bendruomenių namai su internetu. O tokių yra tikrai daug. Ir jie kur kas praktiškesni ir patogesni nei senos ir pustuštės mokyklos."
143,"Įsivaizduokite, po kelis vaikus iš kiekvieno kaimo jungiasi į virtualią klasę ir štai, jų gali jau būti 15-20. O juos mokyti gali labai geras specialistas iš bet kurios Lietuvos mokyklos. Iš bet kurio pasaulio krašto, tiesą sakant! Skamba utopiškai? Šiandien – galbūt. Bet kaip per 2019-ųjų Kalėdas būtų skambėjusi mintis, kad visa Lietuva vos po kelių mėnesių mokysis nuotoliniu būdu?"
144,"Šią savaitę Švietimo sistemoje žengtas „skaitmeninis“ žingsnis gali tapti puikia įžanga į programą „planšetiniai kompiuteriai pradinukams“. Taip, tai nepigu. Aprūpinti 25-30 tūkstančių vaikų planšetiniais kompiuteriais kainuoja daug. Tačiau ir tokią programą siūlau pradėti ne šiemet ir ne 2021-aisiais. Tai turėtume daryti, kai išeisime iš tų išbandymų, kuriuos mums paruošė virusas. Tačiau tai logiškas žingsnis, kurį jau senokai žengė tokios šalys kaip Norvegija."
145,"Šiandien visi esame labai sudėtingose pratybose. Tačiau jos ne tik užgrūdina, bet ir sukuria naujas galimybes, priverčia mus būti išmaniais. Pasinaudokime tuo, perkelkime priešinantį mokyklų tinklų optimizavimo klausimą į virtualią erdvę."
146,Viktorija Čmilytė-Nielsen yra Liberalų sąjūdžio pirmininkė.
147,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
148,"59,88 Eur/met."
149,Jūs gausite:
150,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
151,"

Turite dovanų kodą?
"
152,Nurodytos kainos galioja tik fiziniams asmenims.
153,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
154,< Grįžti atgal
155,< Grįžti atgal
156,< Grįžti atgal
157,"Nesi registruotas skaitytojas?
            Registruokis
"
158,< Grįžti atgal
159,Esi registruotas skaitytojas? Prisijunk
160,< Grįžti atgal
161,=======================================================================
162,6
163,=======================================================================
164,"„Didindami valstybės finansuojamų studijų vietų skaičių siekiame kelti aukštojo mokslo prieinamumą ir užtikrinti didesnes galimybes studijuoti valstybės lėšomis išlaikant kokybės kartelę“, – pranešime žiniasklaidai sako švietimo, mokslo ir sporto ministras Algirdas Monkevičius."
165,"Numatoma, kad valstybės finansavimą dar daugiau nei 3 tūkst. pirmakursių – 2020 metais gaus apie 16,5 tūkst. pirmakursių, 2019 metais jis buvo suplanuotas 13,2 tūkst. stojančiųjų."
166,"Anot ministerijos, 2020 metams priėmimui į bakalauro ir vientisąsias studijas numatoma skirti 13,1 mln. eurų, tai 41 procentu daugiau nei buvo suplanuota skirti 2019 metais."
167,"2020-aisiais, kaip ir 2019 metais, planuojama finansuoti studijas 3,8 tūkst. magistrantų, 477 doktorantams ir 391 rezidentui. Taip pat numatoma valstybės finansavimą skirti 200 stojančiųjų į pedagogikos profesines studijas."
168,"Preliminarūs bakalauro ir vientisųjų studijų valstybės finansuojamų vietų skaičiai pagal atskiras studijų kryptis ir jų grupes, o menų ir pedagoginėms studijoms pagal studijų programas bus tvirtinami švietimo, mokslo ir sporto ministro įsakymu."
169,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
170,"59,88 Eur/met."
171,Jūs gausite:
172,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
173,"

Turite dovanų kodą?
"
174,Nurodytos kainos galioja tik fiziniams asmenims.
175,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
176,< Grįžti atgal
177,< Grįžti atgal
178,< Grįžti atgal
179,"Nesi registruotas skaitytojas?
            Registruokis
"
180,< Grįžti atgal
181,Esi registruotas skaitytojas? Prisijunk
182,< Grįžti atgal
183,=======================================================================
184,7
185,=======================================================================
